response_index,normalized
0,ratcheteer
1,echoic memory
12,whitewater wipeout
16,casual birder
22,pick pack pup
24,questy chess
28,star sled
32,pick pack pup | zipper
37,demon quest 85 | zipper
38,zipper
40,pick pack pup
42,casual birder
44,pick pack pup | omaze
45,saturday edition
46,casual birder
47,pick pack pup
53,saturday edition
55,pick pack pup
58,saturday edition
59,hyper meteor
60,casual birder
61,lost your marbles
62,casual birder
63,echoic memory
66,crankins time travel adventure
68,crankins time travel adventure
71,crankins time travel adventure
73,crankins time travel adventure
74,crankins time travel adventure
75,zipper
76,zipper
79,pick pack pup | saturday edition
82,zipper
83,ratcheteer
84,pick pack pup
86,ratcheteer
87,omaze | saturday edition
90,hyper meteor
91,saturday edition
93,zipper
94,saturday edition
98,casual birder
100,questy chess
101,crankins time travel adventure
103,zipper
104,casual birder
105,zipper
107,forrest byrnes up in smoke
108,zipper
109,pick pack pup
113,zipper
115,
117,crankins time travel adventure
118,
119,hyper meteor
121,echoic memory
122,inventory hero
123,crankins time travel adventure
124,questy chess
126,hyper meteor
133,flipper lifter
134,saturday edition
135,whitewater wipeout
139,casual birder
140,pick pack pup
144,zipper
147,omaze
149,pick pack pup
152,casual birder
154,zipper
158,demon quest 85
159,pick pack pup | zipper
161,pick pack pup
162,hyper meteor
165,ratcheteer
167,boogie loops
169,zipper
176,spellcorked | zipper
179,star sled
180,casual birder
183,ratcheteer
184,zipper
186,pick pack pup
187,spellcorked
189,zipper
190,casual birder
195,crankins time travel adventure
196,ratcheteer
201,pick pack pup | executive golf dx
203,zipper
204,echoic memory
205,whitewater wipeout
207,crankins time travel adventure
208,casual birder
209,whitewater wipeout
210,whitewater wipeout
211,pick pack pup
212,casual birder
215,saturday edition
216,pick pack pup
223,omaze
229,zipper
231,
239,omaze
240,saturday edition
241,crankins time travel adventure
242,zipper
243,casual birder
244,casual birder
247,flipper lifter
249,saturday edition
251,inventory hero
252,casual birder
253,crankins time travel adventure
254,demon quest 85
255,pick pack pup
258,casual birder
260,whitewater wipeout
261,casual birder
263,demon quest 85
264,crankins time travel adventure
265,omaze
268,pick pack pup
271,casual birder
272,whitewater wipeout | casual birder
273,whitewater wipeout
276,ratcheteer
278,casual birder
279,casual birder
283,saturday edition
284,inventory hero
286,forrest byrnes up in smoke
287,pick pack pup
288,crankins time travel adventure
291,pick pack pup
297,whitewater wipeout
298,omaze
302,pick pack pup
306,casual birder
307,saturday edition
309,spellcorked
311,zipper
314,crankins time travel adventure
315,hyper meteor
318,
320,echoic memory
321,casual birder
322,casual birder
327,omaze
331,crankins time travel adventure
335,casual birder
341,zipper
345,pick pack pup
349,whitewater wipeout | crankins time travel adventure
352,saturday edition
353,omaze
354,demon quest 85
355,
356,
357,pick pack pup
359,whitewater wipeout
361,
362,saturday edition
363,ratcheteer
364,inventory hero
365,questy chess
369,pick pack pup
374,pick pack pup
377,demon quest 85
378,
381,inventory hero
384,pick pack pup
392,whitewater wipeout
396,hyper meteor
401,zipper
410,casual birder
411,echoic memory
415,pick pack pup
420,whitewater wipeout
421,pick pack pup
425,crankins time travel adventure
433,saturday edition
434,star sled | hyper meteor
435,pick pack pup
440,casual birder
444,whitewater wipeout
447,star sled
448,pick pack pup | omaze
453,pick pack pup
454,casual birder
456,omaze
459,whitewater wipeout
460,star sled
461,saturday edition
464,pick pack pup
465,pick pack pup
471,spellcorked
474,star sled
482,crankins time travel adventure
483,zipper
484,crankins time travel adventure
485,zipper
487,omaze | zipper
488,zipper | spellcorked
489,zipper
490,demon quest 85
495,omaze
499,crankins time travel adventure
504,hyper meteor
505,pick pack pup
514,crankins time travel adventure
516,whitewater wipeout
518,saturday edition | ratcheteer
520,zipper | ratcheteer
521,casual birder | lost your marbles
523,whitewater wipeout
527,zipper
529,pick pack pup
530,pick pack pup | demon quest 85
532,casual birder
533,pick pack pup
534,crankins time travel adventure
536,zipper
538,saturday edition
540,casual birder
542,crankins time travel adventure | zipper
543,pick pack pup
545,zipper
554,spellcorked
557,saturday edition
563,zipper
567,pick pack pup
569,casual birder
573,saturday edition
575,lost your marbles
577,crankins time travel adventure
578,crankins time travel adventure
584,snak
586,saturday edition
587,saturday edition
588,pick pack pup
590,zipper
592,crankins time travel adventure
594,hyper meteor
595,boogie loops
596,saturday edition
601,zipper
603,saturday edition
608,echoic memory
612,pick pack pup
615,saturday edition
620,casual birder
624,crankins time travel adventure
625,zipper | omaze
628,ratcheteer
632,spellcorked
633,omaze
634,crankins time travel adventure
637,whitewater wipeout
638,spellcorked | saturday edition | ratcheteer | zipper
642,
644,saturday edition
647,pick pack pup
651,zipper
652,omaze
656,saturday edition
657,inventory hero
660,pick pack pup
663,whitewater wipeout
665,ratcheteer | hyper meteor
668,snak
673,ratcheteer
675,demon quest 85
676,hyper meteor
677,casual birder
678,whitewater wipeout
680,zipper
681,zipper 
682,zipper
683,
687,spellcorked
688,
689,pick pack pup
691,crankins time travel adventure
692,pick pack pup
693,
696,casual birder
697,ratcheteer | pick pack pup
698,casual birder
699,pick pack pup
705,pick pack pup
706,zipper
709,crankins time travel adventure
710,demon quest 85
714,lost your marbles
717,demon quest 85
718,executive golf dx
720,casual birder
727,pick pack pup
728,zipper
734,hyper meteor
736,ratcheteer
742,zipper
746,pick pack pup
747,demon quest 85
748,omaze
749,crankins time travel adventure
751,pick pack pup
752,saturday edition | zipper
753,saturday edition